State,GDP
CALIFORNIA,2475826
TEXAS,1638884
NEW YORK,1431902
FLORIDA,879286
ILLINOIS,770572
PENNSYLVANIA,707053
OHIO,608674
NEW JERSEY,572127
GEORGIA,494747
NORTH CAROLINA,492395
MASSACHUSETTS,483866
VIRGINIA,479168
MICHIGAN,465561
WASHINGTON,444342
MARYLAND,363393
INDIANA,335334
MINNESOTA,327125
COLORADO,314149
TENNESSEE,313996
WISCONSIN,300286
MISSOURI,293894
ARIZONA,289694
CONNECTICUT,252741
LOUISIANA,240380
OREGON,215720
SOUTH CAROLINA,199163
ALABAMA,199018
KENTUCKY,192602
OKLAHOMA,187100
IOWA,173599
KANSAS,150193
UTAH,146745
NEVADA,139207
DISTRICT OF COLUMBIA,122217
ARKANSAS,118707
NEBRASKA,113183
MISSISSIPPI,105406
NEW MEXICO,94064
HAWAII,80028
WEST VIRGINIA,75372
NEW HAMPSHIRE,73318
DELAWARE,68751
IDAHO,65356
MAINE,57152
NORTH DAKOTA,56243
RHODE ISLAND,55801
ALASKA,53915
SOUTH DAKOTA,46873
MONTANA,45795
WYOMING,40704
VERMONT,29813